brand,owner,ID,NIC,image
OH MY! APPLE PIE!,Unilever IP Holdings B.V.,884727,30,No image
KIKU Fresh Apple Emotion,KIKU Srl-GmbH,799105,"29, 31, 32, 33",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0799105&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
THE APPLE PRESS Apple in a bottle HAWKE'S BAY NEW ZEALAND,THE APPLE PRESS LIMITED,1480923,32,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1480923&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
DESIGNED BY APPLE IN CALIFORNIA,Apple Inc.,1756550,"9, 42",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1756550&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Add to Apple Wallet & Health,Apple Inc.,1736929,42,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1736929&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
SweeTango SUMMER IN AN APPLE,SweeTango GmbH,1684906,"29, 31, 32",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1684906&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
SPARKLING WINE COCKTAIL PEAR & APPLE,"Limited Liability Company ""Manufacturing company SYABRY""",1635960,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1635960&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Works with Apple Find My,Apple Inc.,1631247,42,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1631247&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Works with Apple Find My,Apple Inc.,1631244,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1631244&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Works with Apple Find My,Apple Inc.,1624958,38,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1624958&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Locate with Apple Find My,Apple Inc.,1622934,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1622934&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Locate with Apple Find My,Apple Inc.,1614530,42,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1614530&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
DESIGNED BY APPLE IN CALIFORNIA,Apple Inc.,1569478,9,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1569478&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Newton's Apple Early Learning Centre,NEWTON'S APPLE EDUCATION LIMITED,1376085,43,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1376085&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Newton's Apple Early Learning Centre,NEWTON'S APPLE EDUCATION LIMITED,1376084,43,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1376084&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
DESIGNED BY APPLE IN CALIFORNIA,Apple Inc.,1192765,9,No image
Be:gin Nineteen 19 Combination of apple distilled liquor and crushed apple,"APPLEASE KOREA BREWERY CO., LTD",1753074,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1753074&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
JACK DANIEL'S ORIGINAL RECIPE TENNESSEE APPLE,"Jack Daniel's Properties, Inc.",1621731,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1621731&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
TASTE THE APPLE. NOT THE VINEGAR.,Goli Nutrition Inc.,1558739,"5, 30, 35",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1558739&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
FRUCTAL Classic RE:FRESHING JABOLKO apple,FRUCTAL Živilska industrija d.o.o.,1346732,"30, 32, 35",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1346732&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
ABSOLUT ORIENT APPLE Country of Sweden,The Absolut Company Aktiebolag,1071721,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1071721&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
Merry Alcohol Free Beverage Apple Flavour,BRASSERIES DU MAROC SA,993960,32,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.0993960&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
BON SEASON Made with natural apple juice,Joint Stock Company “AB InBev Efes”,1703597,"32, 33",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1703597&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
THE APPLE PRESS HAWKE'S BAY NEW ZEALAND,THE APPLE PRESS LIMITED,1480986,32,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1480986&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
THE GOOD CIDER OF SAN SEBASTIAN Apple,"ENVASADOS EVA, S.A.",1339536,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1339536&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
PREMIUM Sola 100% jabolko jabuka • Apfel • apple • mela,"NIKA BEV, polnjenje brezalkoholnih pijač, d.o.o.",1463721,"30, 32, 35",https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1463721&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
WATT TM APPLE PEAR NATURAL ENERGY + MINERAL WATER,Aqua Lorenzo Korlátolt Felelosségu Társaság,1302291,32,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1302291&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
BRAGG ORGANIC RAW ~ UNFILTERED APPLE CIDER VINEGAR With The 'Mother',"Bragg Live Food Products, LLC",1530326,30,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1530326&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
TITAN BLACK POWER APPLE STRONG ENERGY DRINK 20% MORE CAFFEINE & TAURINE,Valentina Koleva Georgieva,1504226,32,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1504226&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
We are the squidgy squad! Vanilla Cola Apple Raspberry Cherry Strawberry flavours,Rigo Trading S.A.,1427335,30,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1427335&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
"APPLE EDITION Made with superb Absolut Vodka 5% Apple Juice & natural flavor. Inspired by the yellow, red & gold days of the Swedish Fall. SPRING SUMMER FALL WINTER",The Absolut Company Aktiebolag,1482790,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1482790&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
AWARDED BY THE CALIFORNIA STATE AGRICULTURAL SOCIETY S. MARTINELLI Best APPLE CIDER 1890,S. MARTINELLI & COMPANY,1781890,33,https://www3.wipo.int/madrid/monitor/jsp/data.jsp?KEY=ROM.1781890&TYPE=jpg&qi=1-SZ96iaexF0gp9IvQpXKw8FPmjrF7PA3w9WilrF7h+e0=
